nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean,profissao,tipo_profissao,primeiro_nome,sobrenome
Avenida Aeroclube,13587,18,0,0,0,0,0,13,0,1594,1.2345679012345678,0,0,0,1.4472040824348633,0,0,0,NA,NA,Aeroclube,Aeroclube
Avenida Almirante Barroso,16624,87,0,16,0,0,5,40,0,4825,2.489669421487603,0,0,0,2.9771732588265816,0,0.26370304779395687,0.46039381791962036,Almirante,militar,Barroso,Barroso
Avenida Ana De Azevedo,167,3,0,0,0,0,0,1,0,170,1.7647058823529411,0,0,0,1.7647058823529411,0,0,0,NA,NA,Ana,Azevedo
Avenida Antilhas Holandesas,1910,10,0,0,0,0,0,5,0,994,1.06951871657754,0,0,0,1.3297634549199004,0,0,0,NA,NA,Antilhas,Holandesas
Avenida Antônio Villarim,11797,23,0,5,0,0,0,11,0,814,2.857142857142857,0,0,0,2.941122009515388,0,0,0.5875396928028507,NA,NA,Antônio,Villarim
Avenida Áustria,1872,4,0,0,0,0,0,2,0,122,3.292847503373819,0,0,0,3.292847503373819,0,0,0,NA,NA,Áustria,Áustria
Avenida Áustria,20257,5,0,1,0,0,0,2,0,188,3.954248366013072,0,0,2.7777777777777777,3.954248366013072,0,0,2.7777777777777777,NA,NA,Áustria,Áustria
Avenida Barão Do Rio Branco,655,21,0,2,0,0,0,10,1,1754,1.2195121951219512,0,0,0,1.2765858281121107,0,0,0.1449579831932773,Barão,nobre,Rio,Branco
Avenida Belo Horizonte,29084,50,0,0,0,0,0,21,0,1785,3.571428571428571,0,0,0,3.7011614222396263,0,0,0,NA,NA,Belo,Horizonte
Avenida Brasil,1740,6,0,0,0,0,0,3,0,389,1.4285714285714286,0,0,0,1.8782175032175032,0,0,0,NA,NA,Brasil,Brasil
Avenida Brigadeiro Eduardo Gomes,20834,25,0,2,0,0,0,14,0,2555,1.6807909604519775,0,0,0,2.5080039842994646,0,0,0.019754603331853752,NA,NA,Brigadeiro,Gomes
Avenida Cajazeiras,36366,15,0,0,0,1,1,6,0,858,1.8843641951594314,0,0,0,3.047313317578396,0,0.22222222222222224,0,NA,NA,Cajazeiras,Cajazeiras
Avenida Cesarina Barbosa De Oliveira,1643,4,0,0,0,0,0,2,0,257,1.8542568542568543,0,0,0,1.8542568542568543,0,0,0,NA,NA,Cesarina,Oliveira
Avenida Compositor Noel Rosa,23434,9,0,0,0,0,0,6,0,309,2.715924426450742,0,0,0,2.963027529451753,0,0,0,Compositor,artista,Noel,Rosa
Avenida Confederação Suíça,2020,4,0,0,0,0,0,1,0,213,1.8779342723004695,0,0,0,1.8779342723004695,0,0,0,NA,NA,Confederação,Suíça
Avenida Cônsul Joseph Noujaim Habib Nacad,12610,102,0,13,0,0,5,47,1,4259,2.7777777777777777,0,0,0,4.715032428739689,0,0.09515967932760293,0.6116225324406789,NA,NA,Cônsul,Nacad
Avenida Das Baraúnas,20770,10,0,3,0,0,0,9,0,1204,0.8695652173913043,0,0,0,1.242717435078598,0,0,0.23477793385706608,NA,NA,NA,NA
Avenida Das Nações,1597,59,0,9,0,0,0,27,0,3130,3.389830508474576,0,0,0,3.9458731727497653,0,0,0.5668524173975922,NA,NA,NA,NA
Avenida Deputado Raimundo Asfora,33634,162,0,0,0,0,0,118,0,19538,1.3560724464466305,0,0,0,1.9584226015189168,0,0,0,Deputado,político,Raimundo,Asfora
Avenida Dinamérica Correia,16640,86,0,12,1,0,1,46,1,3798,3.1746031746031744,0,0,0,4.206367148753759,0,0.24154589371980675,0.6934222904006874,NA,NA,Dinamérica,Correia
Avenida Doutor Elpídio De Almeida,11800,111,0,10,0,2,8,53,2,4739,2.7027027027027026,0,0,0,3.693269189004165,0,0.590381984211245,0.2597523197799769,Doutor,liberal,Elpídio,Almeida
Avenida Doutor Otávio Mariz Maia,14001,6,0,0,0,0,0,3,0,231,2.3529411764705883,0,0,0,2.9132315256084693,0,0,0,Doutor,liberal,Otávio,Maia
Avenida Engenheiro José Celino Filho,5193,38,0,1,0,0,0,17,0,1435,2.7777777777777777,0,0,0,3.8881485059406864,0,0,0.08169934640522876,Engenheiro,liberal,José,Filho
Avenida Engenheiro Lourival De Andrade,23760,154,0,6,0,0,0,74,16,8115,2.325895875591616,0,0,0,2.4945621533927462,0,0,0.08036673175770784,Engenheiro,liberal,Lourival,Andrade
Avenida Engenheiro Saturnino De Brito Filho,14567,86,0,1,0,0,0,30,0,2398,4.354636591478696,0,0,0,5.28693776274327,0,0,0.06410256410256411,Engenheiro,liberal,Saturnino,Filho
Avenida Estados Unidos,1767,4,0,0,0,0,0,2,0,490,0.9795102448775612,0,0,0,0.9795102448775612,0,0,0,NA,NA,Estados,Unidos
Avenida Flórida,1791,12,0,0,0,0,0,6,0,438,2.60840108401084,0,0,0,6.1953286721999925,0,0,0,NA,NA,Flórida,Flórida
Avenida Fortaleza,29190,6,0,0,0,0,0,3,0,231,2.631578947368421,0,0,0,2.6363576629691354,0,0,0,NA,NA,Fortaleza,Fortaleza
Avenida Francisco Amaro De Lima,13960,3,0,0,0,0,0,3,0,464,0.8620689655172413,0,0,0,0.7395627774760678,0,0,0,NA,NA,Francisco,Lima
Avenida Francisco Lopes De Almeida,28789,89,0,17,0,2,3,55,0,5969,1.8867924528301887,0,0,0,2.44089935087826,0,0.051023552844834716,0.39674263362163376,NA,NA,Francisco,Almeida
Avenida Giló Guedes,17744,39,0,4,0,1,4,15,2,1904,2.3255813953488373,0,0,0,2.847261294007205,0,0.1699440018421373,0.189450966732914,NA,NA,Giló,Guedes
Avenida Grão Ducado De Luxemburgo,1937,22,0,0,0,0,0,11,0,1772,0.9569377990430622,0,0,0,3.405643644833672,0,0,0,NA,NA,Grão,Luxemburgo
Avenida Henrique Alexandrino De Melo,13412,4,0,0,0,0,0,4,0,396,1.2112472963229992,0,0,0,1.1093797241668022,0,0,0,NA,NA,Henrique,Melo
Avenida Industrial Ademar Veloso Da Silveira,9105,42,0,7,0,0,0,21,0,2215,2.666666666666667,0,0,0,3.2452049657494593,0,0,0.29740843705903414,NA,NA,Industrial,Silveira
Avenida Itália,1775,2,0,0,0,0,0,1,0,74,2.7027027027027026,0,0,0,2.7027027027027026,0,0,0,NA,NA,Itália,Itália
Avenida Iugoslávia,1805,8,0,0,0,0,0,4,0,262,3.0017921146953404,0,0,0,3.1820097951989967,0,0,0,NA,NA,Iugoslávia,Iugoslávia
Avenida Janúncio Ferreira,27,23,3,6,0,0,1,9,0,1161,1.8018018018018018,0,0,0.5434782608695652,2.5731213286425465,0.10928961748633881,0.1001001001001001,0.41198966475027365,NA,NA,Janúncio,Ferreira
Avenida João Wallig,13340,95,0,4,0,1,1,54,0,4666,2.330623306233062,0,0,0,3.0994759328340518,0,0.09746588693957114,0.22623732301151656,NA,NA,João,Wallig
Avenida Jornalista Assis Chateaubriand,11592,136,2,35,0,2,9,83,7,13146,1.4285714285714286,0,0,0,2.255532265099588,0.028089174400446885,0.10757461029303464,0.6220113195368306,Jornalista,liberal,Assis,Chateaubriand
Avenida José Hamilton Alves,13439,11,0,0,0,0,0,6,0,687,1.4219443323920935,0,0,0,2.060601184084849,0,0,0,NA,NA,José,Alves
Avenida José Martins De Andrade,16489,42,0,5,0,0,0,18,0,2125,2.0786092214663645,0,0,0,5.6072853927965225,0,0,0.18939479352990166,NA,NA,José,Andrade
Avenida Juscelino Kubitschek,16900,31,0,2,0,0,0,14,0,645,5.443349753694582,0,0,0,6.269139421715951,0,0,0.18232850070721357,NA,NA,Juscelino,Kubitschek
Avenida Juvêncio Arruda,21075,7,0,5,0,0,0,7,0,1546,0.6329113924050633,0,0,0.17889087656529518,1.6821241603771853,0,0,0.45467665963775916,NA,NA,Juvêncio,Arruda
Avenida Leste Plínio Lemos,19585,63,0,2,0,0,0,43,0,2886,2,0,0,0,3.12107176214872,0,0,0.09123434704830054,NA,NA,Leste,Lemos
Avenida Manoel Barros De Oliveira,9083,28,0,0,0,0,0,7,0,818,5.263157894736842,0,0,0,4.411701528318769,0,0,0,NA,NA,Manoel,Oliveira
Avenida Manoel Tavares,3093,115,1,8,0,0,0,45,5,4947,2.877697841726619,0,0,0,3.238728939968363,0.0069881201956673664,0,0.1505680282268098,NA,NA,Manoel,Tavares
Avenida Marechal Floriano Peixoto,329,290,13,44,0,8,32,129,19,15659,2.4691358024691357,0,0,0,3.305618220244627,0.11084627363697132,0.33881795689191163,0.34585399569524616,Marechal,militar,Floriano,Peixoto
Avenida Marechal Floriano Peixoto,728,7,0,0,0,0,0,5,0,336,4.166666666666666,0,0,0,3.8043593948805774,0,0,0,Marechal,militar,Floriano,Peixoto
Avenida Marechal Floriano Peixoto,35998,17,0,0,0,0,0,9,0,767,2,0,0,0,2.6176636344981117,0,0,0,Marechal,militar,Floriano,Peixoto
Avenida Ministro José Américo De Almeida,17469,31,0,3,0,0,0,12,0,898,3.666666666666667,0,0,0,3.8522141134677,0,0,0.4456018518518518,NA,NA,Ministro,Almeida
Avenida Nicarágua,1724,2,0,0,0,0,0,1,0,86,2.3255813953488373,0,0,0,2.3255813953488373,0,0,0,NA,NA,Nicarágua,Nicarágua
Avenida Oeste Plínio Lemos,19569,48,0,8,0,0,0,31,1,2412,1.9230769230769231,0,0,0,3.585849245247303,0,0,0.27206037274198663,NA,NA,Lemos,Lemos
Avenida Pedro Brasil,24880,18,0,0,0,0,0,9,0,1032,1.8518518518518516,0,0,0,2.0105672446207126,0,0,0,NA,NA,Pedro,Brasil
Avenida Portugal,23663,16,0,5,0,1,0,9,0,1448,1.0582010582010581,0,0,0.33112582781456956,1.4672466775203745,0,0,0.40030440418419505,NA,NA,Portugal,Portugal
Avenida Prefeito Severino Cabral,5240,274,12,25,1,3,1,121,6,16688,2.380952380952381,0,0,0,3.187539307778301,0.19123547435767563,0.009391435011269723,0.24702043679905847,Prefeito,político,Severino,Cabral
Avenida Presidente Getúlio Vargas,337,26,0,3,0,0,3,13,1,1402,1.8518518518518516,0,0,0,4.991016780121171,0,0.13472516067222864,0.11810552142919782,Presidente,político,Getúlio,Vargas
Avenida Principado De Mônaco,2011,1,0,0,0,0,0,1,0,213,0.4694835680751174,0,0,0,0.4694835680751174,0,0,0,NA,NA,Principado,Mônaco
Avenida Professor Almeida Barreto,10693,107,0,16,1,1,8,61,2,5013,2.479338842975207,0,0,0,3.4669532261479623,0,0.45114912377615835,0.45365873143381835,Professor(a),liberal,Almeida,Barreto
Avenida Reino Unido Da Grã Bretanha,1929,10,0,0,0,0,0,5,0,765,1.1976047904191618,0,0,0,1.6036884543029348,0,0,0,NA,NA,Reino,Bretanha
Avenida República Árabe Da Síria,1970,2,0,0,0,0,0,1,0,132,1.5151515151515151,0,0,0,1.5151515151515151,0,0,0,NA,NA,República,Síria
Avenida República Da Grécia,1902,4,0,0,0,0,0,2,0,115,4.107142857142858,0,0,0,4.107142857142858,0,0,0,NA,NA,República,Grécia
Avenida República Do Líbano,1759,4,0,0,0,0,0,2,0,666,0.6006493506493507,0,0,0,0.6006493506493507,0,0,0,NA,NA,República,Líbano
Avenida República Federal Da Alemanha,1945,9,0,0,0,1,0,4,0,1026,1.0416666666666667,0,0,0,1.3207630098452883,0,0,0,NA,NA,República,Alemanha
Avenida República Francesa,1953,39,0,0,0,1,0,18,0,2452,2.321524422973698,0,0,0,3.1796216588547526,0,0,0,NA,NA,República,Francesa
Avenida República Islâmica Da Mauritânia,2046,5,0,0,0,1,0,2,0,238,2.1246246246246248,0,0,0,2.1246246246246248,0,0,0,NA,NA,República,Mauritânia
Avenida República Islândia,2003,19,0,0,0,0,0,9,0,553,4.3478260869565215,0,0,0,3.9850579838797113,0,0,0,NA,NA,República,Islândia
Avenida República Oriental Do Uruguai,2038,29,0,0,0,0,0,13,0,1725,3.6363636363636362,0,0,0,3.6490805476464194,0,0,0,NA,NA,República,Uruguai
Avenida República Portuguesa,1961,6,0,0,0,0,0,3,0,736,0.7462686567164178,0,0,0,1.2344759206620757,0,0,0,NA,NA,República,Portuguesa
Avenida Saulo Correia Menezes,15440,5,0,0,0,0,0,4,0,477,1.0446437370651425,0,0,0,2.1011352120517968,0,0,0,NA,NA,Saulo,Menezes
Avenida Senador Argemiro De Figueirêdo,12084,94,0,2,0,1,0,75,1,8242,1.9607843137254901,0,0,0,2.5788174404368656,0,0,0.07148407148407149,Senador,político,Argemiro,Figueirêdo
Avenida Tabelião Alcindo Lima,13536,8,0,0,0,0,0,5,0,759,1.1904761904761905,0,0,0,1.7101638733348652,0,0,0,NA,NA,Tabelião,Lima
Avenida Tavares,4138,49,0,0,0,0,0,26,0,2296,2.5206087507926442,0,0,0,3.109047757016609,0,0,0,NA,NA,Tavares,Tavares
Avenida Uberaba,13684,6,0,0,0,0,0,3,0,351,3.4482758620689653,0,0,0,3.165249160765334,0,0,0,NA,NA,Uberaba,Uberaba
Avenida Uruguai,1830,4,0,0,0,0,0,2,0,105,3.8181818181818183,0,0,0,3.8181818181818183,0,0,0,NA,NA,Uruguai,Uruguai
Avenida Vereador Antônio José Rodrigues,5355,10,0,1,0,0,0,4,0,894,1.0694835680751174,0,0,0,1.114008763666311,0,0,0.1,Vereador,político,Antônio,Rodrigues
Estrada Da Chesf,700258,3,0,0,0,0,0,2,0,748,1.2064831395878228,0,0,0,1.2064831395878228,0,0,0,NA,NA,NA,NA
Largo Prefeito Severino Procópio,11185,2,0,0,0,0,0,1,0,141,1.4184397163120568,0,0,0,1.4184397163120568,0,0,0,Prefeito,político,Severino,Procópio
Não Identificado 10677,10677,11,0,0,0,0,0,6,0,378,3.357380688124306,0,0,0,3.172673460866196,0,0,0,NA,NA,NA,NA
Não Identificado 1236,1236,4,0,0,0,0,0,2,0,476,0.8548389993355243,0,0,0,0.8548389993355243,0,0,0,NA,NA,NA,NA
Não Identificado 13347,13347,11,0,0,0,0,0,6,0,786,1.3107560756075607,0,0,0,1.8351207274067487,0,0,0,NA,NA,NA,NA
Não Identificado 13382,13382,7,0,0,0,0,0,6,0,489,1.3793759512937593,0,0,0,1.5036729721430684,0,0,0,NA,NA,NA,NA
Não Identificado 13579,13579,2,0,0,0,0,0,2,0,385,0.5196523053665911,0,0,0,0.5196523053665911,0,0,0,NA,NA,NA,NA
Não Identificado 14117,14117,2,0,0,0,0,0,1,0,98,2.0408163265306123,0,0,0,2.0408163265306123,0,0,0,NA,NA,NA,NA
Não Identificado 14150,14150,3,0,0,0,0,0,1,0,285,1.0526315789473684,0,0,0,1.0526315789473684,0,0,0,NA,NA,NA,NA
Não Identificado 14206,14206,4,0,0,0,0,0,3,0,308,2.247191011235955,0,0,0,3.474978532249177,0,0,0,NA,NA,NA,NA
Não Identificado 142571,142571,2,0,0,0,0,0,1,0,171,1.1695906432748537,0,0,0,1.1695906432748537,0,0,0,NA,NA,NA,NA
Não Identificado 14265,14265,2,0,0,0,0,0,1,0,163,1.2269938650306749,0,0,0,1.2269938650306749,0,0,0,NA,NA,NA,NA
Não Identificado 14664,14664,1,0,0,0,0,0,1,0,34,2.941176470588235,0,0,0,2.941176470588235,0,0,0,NA,NA,NA,NA
Não Identificado 14745,14745,12,0,0,0,0,0,5,0,358,3.7383177570093453,0,0,0,3.4724190174548037,0,0,0,NA,NA,NA,NA
Não Identificado 14915,14915,2,0,0,0,0,0,1,0,171,1.1695906432748537,0,0,0,1.1695906432748537,0,0,0,NA,NA,NA,NA
Não Identificado 1503,1503,4,0,0,0,0,0,1,0,122,3.278688524590164,0,0,0,3.278688524590164,0,0,0,NA,NA,NA,NA
Não Identificado 15377,15377,6,0,0,0,0,0,3,0,373,1.5151515151515151,0,0,0,1.8254537485306717,0,0,0,NA,NA,NA,NA
Não Identificado 15940,15940,3,0,0,0,0,0,1,0,556,0.539568345323741,0,0,0,0.539568345323741,0,0,0,NA,NA,NA,NA
Não Identificado 16189,16189,6,0,0,0,0,0,2,0,185,12.247474747474747,0,0,0,12.247474747474747,0,0,0,NA,NA,NA,NA
Não Identificado 16577,16577,4,0,0,0,0,0,3,0,406,0.5780346820809248,0,0,0,2.032056465702277,0,0,0,NA,NA,NA,NA
Não Identificado 16675,16675,4,0,0,0,0,0,1,0,177,2.2598870056497176,0,0,0,2.2598870056497176,0,0,0,NA,NA,NA,NA
Não Identificado 16780,16780,10,0,0,0,0,0,7,0,367,2.631578947368421,0,0,0,5.838486351945626,0,0,0,NA,NA,NA,NA
Não Identificado 16918,16918,19,0,1,0,0,0,10,0,1211,1.7100633356790993,0,0,0,1.8005308063429772,0,0,0.050761421319796954,NA,NA,NA,NA
Não Identificado 1779,1779,1,0,0,0,0,0,1,0,30,3.3333333333333335,0,0,0,3.3333333333333335,0,0,0,NA,NA,NA,NA
Não Identificado 19461,19461,5,0,0,0,0,0,2,0,303,1.6862929816297691,0,0,0,1.6862929816297691,0,0,0,NA,NA,NA,NA
Não Identificado 196153,196153,5,0,0,0,0,0,2,0,390,1.2694687433326224,0,0,0,1.2694687433326224,0,0,0,NA,NA,NA,NA
Não Identificado 19823,19823,6,0,0,0,0,0,2,0,359,1.6300251256281406,0,0,0,1.6300251256281406,0,0,0,NA,NA,NA,NA
Não Identificado 1988,1988,2,0,0,0,0,0,1,0,58,3.4482758620689653,0,0,0,3.4482758620689653,0,0,0,NA,NA,NA,NA
Não Identificado 20839,20839,3,0,0,0,0,0,1,0,175,1.7142857142857144,0,0,0,1.7142857142857144,0,0,0,NA,NA,NA,NA
Não Identificado 2100,2100,4,0,0,0,0,0,2,0,146,2.73972602739726,0,0,0,2.73972602739726,0,0,0,NA,NA,NA,NA
Não Identificado 2186,2186,18,0,1,0,0,0,8,0,1136,1.8443239987955433,0,0,0,3.105692646587208,0,0,0.07530120481927711,NA,NA,NA,NA
Não Identificado 22002,22002,1,0,0,0,0,0,1,0,179,0.5586592178770949,0,0,0,0.5586592178770949,0,0,0,NA,NA,NA,NA
Não Identificado 23060,23060,9,0,0,0,0,0,5,0,551,1.8181818181818181,0,0,0,2.097300456455386,0,0,0,NA,NA,NA,NA
Não Identificado 23078,23078,9,0,0,0,0,0,5,0,449,2.0408163265306123,0,0,0,2.263103928109816,0,0,0,NA,NA,NA,NA
Não Identificado 25062,25062,52,0,3,1,1,1,27,2,3094,1.5384615384615385,0,0,0,2.1344053770660127,0,0.045167118337850046,0.0908039232339142,NA,NA,NA,NA
Não Identificado 25070,25070,45,0,5,0,0,2,23,0,2741,1.574803149606299,0,0,0,2.0105455061411206,0,0.22883295194508008,0.173414378521658,NA,NA,NA,NA
Não Identificado 25097,25097,52,0,2,0,0,0,31,0,2943,1.8518518518518516,0,0,0,2.1988764058700614,0,0,0.07463630613535738,NA,NA,NA,NA
Não Identificado 25595,25595,2,0,0,0,0,0,1,0,144,1.3888888888888888,0,0,0,1.3888888888888888,0,0,0,NA,NA,NA,NA
Não Identificado 26182,26182,3,0,0,0,0,0,3,0,140,1.8518518518518516,0,0,0,2.298613373882191,0,0,0,NA,NA,NA,NA
Não Identificado 26212,26212,6,0,0,0,0,0,5,0,271,1.8181818181818181,0,0,0,2.448476534046558,0,0,0,NA,NA,NA,NA
Não Identificado 26328,26328,2,0,0,0,0,0,2,0,200,1.6244314489928524,0,0,0,1.6244314489928524,0,0,0,NA,NA,NA,NA
Não Identificado 26352,26352,1,0,0,0,0,0,1,0,150,0.6666666666666667,0,0,0,0.6666666666666667,0,0,0,NA,NA,NA,NA
Não Identificado 26387,26387,3,0,0,0,0,0,3,0,363,0.7142857142857143,0,0,0,1.3182076085301893,0,0,0,NA,NA,NA,NA
Não Identificado 26395,26395,7,0,0,0,0,0,6,0,542,1.5796019900497513,0,0,0,1.4093262044754582,0,0,0,NA,NA,NA,NA
Não Identificado 26464,26464,18,0,0,0,0,0,9,0,796,1.9230769230769231,0,0,0,2.4979862639741213,0,0,0,NA,NA,NA,NA
Não Identificado 26603,26603,24,0,1,0,0,0,12,0,892,2.632034632034632,0,0,0,2.9478799654832426,0,0,0.10822510822510822,NA,NA,NA,NA
Não Identificado 27049,27049,5,0,0,0,0,0,3,0,337,1.4285714285714286,0,0,0,1.6582496896239716,0,0,0,NA,NA,NA,NA
Não Identificado 27057,27057,20,0,1,0,0,0,11,0,1539,1.5384615384615385,0,0,0,2.3017954746100817,0,0,0.06993006993006994,NA,NA,NA,NA
Não Identificado 27219,27219,7,0,0,0,0,0,2,0,296,2.3529411764705883,0,0,0,2.3529411764705883,0,0,0,NA,NA,NA,NA
Não Identificado 280045,280045,6,0,0,0,0,0,3,0,148,4.651162790697675,0,0,0,10.571006153600255,0,0,0,NA,NA,NA,NA
Não Identificado 28256,28256,7,0,0,0,0,0,3,0,375,2.1739130434782608,0,0,0,1.9241518020218558,0,0,0,NA,NA,NA,NA
Não Identificado 28479,28479,6,0,0,0,0,0,3,0,471,1.5625,0,0,0,1.3599770642201836,0,0,0,NA,NA,NA,NA
Não Identificado 28606,28606,2,0,0,0,0,0,1,0,128,1.5625,0,0,0,1.5625,0,0,0,NA,NA,NA,NA
Não Identificado 28614,28614,2,0,0,0,0,0,1,0,134,1.4925373134328357,0,0,0,1.4925373134328357,0,0,0,NA,NA,NA,NA
Não Identificado 28622,28622,3,0,0,0,0,0,2,0,141,2.0799512987012987,0,0,0,2.0799512987012987,0,0,0,NA,NA,NA,NA
Não Identificado 28630,28630,1,0,0,0,0,0,1,0,117,0.8547008547008548,0,0,0,0.8547008547008548,0,0,0,NA,NA,NA,NA
Não Identificado 28690,28690,11,0,0,0,0,0,11,0,707,1.4285714285714286,0,0,0,2.618855092088808,0,0,0,NA,NA,NA,NA
Não Identificado 28746,28746,2,0,0,0,0,0,1,0,45,4.444444444444445,0,0,0,4.444444444444445,0,0,0,NA,NA,NA,NA
Não Identificado 28762,28762,2,0,0,0,0,0,1,0,235,0.851063829787234,0,0,0,0.851063829787234,0,0,0,NA,NA,NA,NA
Não Identificado 29114,29114,30,0,0,0,0,0,15,0,895,3.7735849056603774,0,0,0,4.014252099054392,0,0,0,NA,NA,NA,NA
Não Identificado 32024,32024,2,0,0,0,0,0,1,0,107,1.8691588785046727,0,0,0,1.8691588785046727,0,0,0,NA,NA,NA,NA
Não Identificado 32042,32042,6,0,0,0,0,0,3,0,196,2.727272727272727,0,0,0,4.460227272727273,0,0,0,NA,NA,NA,NA
Não Identificado 32077,32077,2,0,0,0,0,0,1,0,62,3.225806451612903,0,0,0,3.225806451612903,0,0,0,NA,NA,NA,NA
Não Identificado 32115,32115,2,0,0,0,0,0,1,0,124,1.6129032258064515,0,0,0,1.6129032258064515,0,0,0,NA,NA,NA,NA
Não Identificado 32255,32255,3,0,0,0,0,0,2,0,175,2.1259497369959086,0,0,0,2.1259497369959086,0,0,0,NA,NA,NA,NA
Não Identificado 32337,32337,18,0,0,0,0,0,8,0,565,3.977871443624868,0,0,0,3.6415984947263373,0,0,0,NA,NA,NA,NA
Não Identificado 32979,32979,4,0,0,0,0,0,2,0,178,2.850389321468298,0,0,0,2.850389321468298,0,0,0,NA,NA,NA,NA
Não Identificado 33006,33006,2,0,0,0,0,0,1,0,77,2.5974025974025974,0,0,0,2.5974025974025974,0,0,0,NA,NA,NA,NA
Não Identificado 33928,33928,2,0,0,0,0,0,1,0,108,1.8518518518518516,0,0,0,1.8518518518518516,0,0,0,NA,NA,NA,NA
Não Identificado 33936,33936,9,0,1,1,0,0,4,0,234,5.827702702702703,0,0,0,6.059012641673932,0,0,2.5,NA,NA,NA,NA
Não Identificado 33952,33952,1,0,0,0,0,0,1,0,65,1.5384615384615385,0,0,0,1.5384615384615385,0,0,0,NA,NA,NA,NA
Não Identificado 33960,33960,7,0,0,0,0,0,4,0,222,3.181818181818182,0,0,0,3.2507451564828616,0,0,0,NA,NA,NA,NA
Não Identificado 33979,33979,1,0,0,0,0,0,1,0,171,0.5847953216374269,0,0,0,0.5847953216374269,0,0,0,NA,NA,NA,NA
Não Identificado 33987,33987,3,0,0,0,0,0,1,0,115,2.608695652173913,0,0,0,2.608695652173913,0,0,0,NA,NA,NA,NA
Não Identificado 34002,34002,1,0,0,0,0,0,1,0,190,0.5263157894736842,0,0,0,0.5263157894736842,0,0,0,NA,NA,NA,NA
Não Identificado 34029,34029,1,0,0,0,0,0,1,0,274,0.36496350364963503,0,0,0,0.36496350364963503,0,0,0,NA,NA,NA,NA
Não Identificado 34056,34056,4,0,1,0,0,0,4,0,300,1.3942307692307692,0,0,0,1.4605117597138872,0,0,0.3125,NA,NA,NA,NA
Não Identificado 34770,34770,2,0,0,0,0,0,1,0,50,4,0,0,0,4,0,0,0,NA,NA,NA,NA
Não Identificado 34797,34797,4,0,0,0,0,0,2,0,184,2.4731182795698925,0,0,0,2.4731182795698925,0,0,0,NA,NA,NA,NA
Não Identificado 34843,34843,8,0,0,0,0,0,4,0,316,2.619047619047619,0,0,0,4.573280925273335,0,0,0,NA,NA,NA,NA
Não Identificado 35246,35246,1,0,0,0,0,0,1,0,70,1.4285714285714286,0,0,0,1.4285714285714286,0,0,0,NA,NA,NA,NA
Não Identificado 35351,35351,1,0,0,0,0,0,1,0,58,1.7241379310344827,0,0,0,1.7241379310344827,0,0,0,NA,NA,NA,NA
Não Identificado 36653,36653,57,0,0,0,0,0,42,0,2963,2.150786308973173,0,0,0,2.6699365292684822,0,0,0,NA,NA,NA,NA
Não Identificado 36781,36781,1,0,0,0,0,0,1,0,53,1.8867924528301887,0,0,0,1.8867924528301887,0,0,0,NA,NA,NA,NA
Não Identificado 36790,36790,1,0,0,0,0,0,1,0,58,1.7241379310344827,0,0,0,1.7241379310344827,0,0,0,NA,NA,NA,NA
Não Identificado 37249,37249,2,0,0,0,0,0,1,0,73,2.73972602739726,0,0,0,2.73972602739726,0,0,0,NA,NA,NA,NA
Não Identificado 37482,37482,27,3,1,1,1,0,9,0,656,4.545454545454546,0,0,0,4.299505596714577,0.641025641025641,0,0.1564945226917058,NA,NA,NA,NA
Não Identificado 37567,37567,1,0,0,0,0,0,1,0,63,1.5873015873015872,0,0,0,1.5873015873015872,0,0,0,NA,NA,NA,NA
Não Identificado 38423,38423,5,0,0,0,0,0,3,0,374,3.225806451612903,0,0,0,2.5101722805053304,0,0,0,NA,NA,NA,NA
Não Identificado 6858,6858,4,0,0,0,0,0,1,0,83,4.819277108433735,0,0,0,4.819277108433735,0,0,0,NA,NA,NA,NA
Não Identificado 700468,700468,1,0,0,0,0,0,1,0,61,1.639344262295082,0,0,0,1.639344262295082,0,0,0,NA,NA,NA,NA
Não Identificado 7293,7293,17,0,0,0,0,0,9,0,400,4.545454545454546,0,0,0,5.2894730931005185,0,0,0,NA,NA,NA,NA
Não Identificado 7781,7781,6,0,0,0,0,0,4,0,384,1.8820028011204482,0,0,0,2.071995967061523,0,0,0,NA,NA,NA,NA
Não Identificado 784,784,2,0,0,0,0,0,2,0,101,2.0379338175948343,0,0,0,2.0379338175948343,0,0,0,NA,NA,NA,NA
Não Identificado 7900,7900,5,0,0,0,0,0,2,0,163,2.7807971014492754,0,0,0,2.7807971014492754,0,0,0,NA,NA,NA,NA
Nossa Senhora Da Conceição,7897,3,0,0,0,0,0,2,0,237,1.5822784810126582,0,0,0,1.5822784810126582,0,0,0,NA,NA,Senhora,Conceição
Praça Clementino Procópio,11150,18,7,5,3,1,4,8,2,404,4.083333333333333,0,0,0,6.168046741990404,3.8243348982785603,2.3809523809523805,2.5198063380281686,NA,NA,Clementino,Procópio
Praça Da Bandeira,302,13,5,2,1,3,2,4,2,212,6.225806451612903,0,0.8064516129032258,0.7692307692307693,6.739276852180078,2.5,1.1175115207373272,0.7878411910669976,NA,NA,NA,NA
