nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean,profissao,tipo_profissao,primeiro_nome,sobrenome
Rua Sem Denominação   28 1,700028,2,0,0,0,0,0,1,0,85,2.3529411764705883,0,0,0,2.3529411764705883,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   29 1,700029,3,0,0,0,0,0,1,0,86,3.488372093023256,0,0,0,3.488372093023256,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   33 5,700042,5,0,0,0,0,0,4,0,162,3.337041156840934,0,0,0,3.295080293215476,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   34 1,700043,1,0,0,0,0,0,1,0,90,1.1111111111111112,0,0,0,1.1111111111111112,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   35 5,700044,6,0,0,0,0,0,5,0,243,1.9230769230769231,0,0,0,5.053652269026999,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   36 1,700048,1,0,0,0,0,0,1,0,52,1.9230769230769231,0,0,0,1.9230769230769231,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   37 5,700049,8,0,0,0,0,0,5,0,341,2.631578947368421,0,0,0,2.3876743139901033,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   38 1,700050,1,0,0,0,0,0,1,0,24,4.166666666666666,0,0,0,4.166666666666666,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   39 9,700051,14,0,0,0,0,0,9,0,507,2.7777777777777777,0,0,0,3.5510666667707955,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   40 1,700052,1,0,0,0,0,0,1,0,73,1.36986301369863,0,0,0,1.36986301369863,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   41 1,700053,1,0,0,0,0,0,1,0,71,1.4084507042253522,0,0,0,1.4084507042253522,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   42 1,700054,1,0,0,0,0,0,1,0,68,1.4705882352941175,0,0,0,1.4705882352941175,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   43 1,700055,2,0,0,0,0,0,1,0,68,2.941176470588235,0,0,0,2.941176470588235,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   44 1,700056,2,0,0,0,0,0,1,0,42,4.761904761904762,0,0,0,4.761904761904762,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   45 1,700057,2,0,0,0,0,0,1,0,83,2.4096385542168677,0,0,0,2.4096385542168677,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   46 1,700058,2,0,0,0,0,0,1,0,84,2.380952380952381,0,0,0,2.380952380952381,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   47 2,700059,2,0,0,0,0,0,2,0,88,2.371967654986523,0,0,0,2.371967654986523,0,0,0,NA,NA,NA,NA
